data;time;cpu
28/11/2021;17:30:00;11.665.964.560.048.000
28/11/2021;17:35:00;0.9362322867463184
28/11/2021;17:40:00;0.8595142143365099
28/11/2021;17:45:00;0.9871197793891382
28/11/2021;17:50:00;11.306.566.638.881.100
28/11/2021;17:55:00;0.7946978123841318
28/11/2021;18:00:00;11.306.196.165.601.500
28/11/2021;18:05:00;0.8594417077175727
28/11/2021;18:10:00;0.9161837069436842
28/11/2021;18:15:00;1.223.167.725.801.970
28/11/2021;18:20:00;0.80231641611814
28/11/2021;18:25:00;0.9252502162725325
28/11/2021;18:30:00;11.974.159.488.746.800
28/11/2021;18:35:00;0.8236559139784945
28/11/2021;18:40:00;11.527.623.285.131.600
28/11/2021;18:45:00;0.9585264744676806
28/11/2021;18:50:00;0.8011299435028258
28/11/2021;18:55:00;1.054.417.232.299.970
28/11/2021;19:00:00;0.9625086829674924
28/11/2021;19:05:00;0.9948901108313196
28/11/2021;19:10:00;0.9602150537634433
28/11/2021;19:15:00;12.235.528.387.515.000
28/11/2021;19:20:00;0.8028248587570636
28/11/2021;19:25:00;11.853.199.962.952.600
28/11/2021;19:30:00;0.9679262758173597
28/11/2021;19:35:00;10.311.475.409.836.000
28/11/2021;19:40:00;0.8022784106696319
28/11/2021;19:45:00;11.838.542.366.905.900
28/11/2021;19:50:00;0.8273409280355656
28/11/2021;19:55:00;11.972.862.832.268.200
28/11/2021;20:00:00;0.9666666666666593
28/11/2021;20:05:00;0.9902195054181716
28/11/2021;20:10:00;0.9629341483745509
28/11/2021;20:15:00;0.9029360007409514
28/11/2021;20:20:00;1.031.805.131.054.920
